origin,desc_1,desc_3,roast,agtron
"Nyeri growing region, south-central Kenya","Richly sweet-savory. Red currant, narcissus, tamarind, cedar, brown sugar in aroma and cup. Bittersweet structure with bright acidity; crisp, velvety mouthfeel. Sweetly tart finish leads with tamarind notes, supported by narcissus and cedar. ","A deep-toned, sweetly savory Kenya cup with inviting floral notes and a complex bittersweet structure.",Medium-Light,58/78
"Piendamó, Cauca, Colombia","Multi-layered, enigmatic. Tart citrus, myrrh, fresh-cut sugar cane, alyssum, pistachio in aroma and cup. Lively, very juicy acidity; vibrant, silky-smooth mouthfeel. Floral-toned, harmonious and coherent finish.","An impossibly complex, delightfully floral carbonic-macerated Java with more aroma and flavor descriptors than we can begin to count on both hands.",Medium-Light,60/74
Kenya; Ethiopia,"Evaluated as espresso. Deeply sweet-savory, fruit-toned. Toffee, raspberry, maple syrup, jasmine, fresh-cut oak in aroma and cup. Full, syrupy-smooth mouthfeel; crisply sweet finish. In three parts milk, toffee and raspberry notes are supported by jasmine.","A complex, multi-layered espresso blend with notes of red berries, spicy florals, and rich toffee; elegant in the milk shot.",Medium-Light,57/77
"Peru, Guatemala","Evaluated as espresso. Richly chocolaty, sweetly nut-toned. Dark chocolate, almond, date, molasses, cedar in aroma and small cup. Plush, viscous mouthfeel; crisp, resonantly chocolaty finish. In three parts milk, dark chocolate and creamy almond notes take center stage. ","A bold, chocolaty espresso blend supported by rich nut and aromatic wood notes; especially satisfying in cappuccino format.",Medium-Light,58/73
"Monte Verde, Santa Ana Department, central El Salvador","Sweetly bright, rich-toned. Baking chocolate, agave syrup, violet, hazelnut, tangerine in aroma and cup. Balanced, bright acidity; crisp, satiny mouthfeel. The pleasing finish centers around notes of baking chocolate and hazelnut. ",A solid El Salvador cup with a crisp chocolate throughline and especially vibrant acidity.,Medium-Light,60/76
"Sipi Falls, Bugisu Region, Uganda","Richly bittersweet, deep-toned. Tangerine zest, cocoa nib, pineapple kefir, brown sugar, cedar in aroma and cup. Brightly sweet-tart structure with vibrant acidity; crisp, lightly satiny mouthfeel. Cocoa-toned finish with notes of tangerine and brown sugar.","An inviting anaerobic natural Uganda with throughlines of citrus zest and cocoa, complicated by a lactic tang.",Light,65/81
"Phu Khaa, Nan Province, Thailand","Complex, richly bittersweet. Pomegranate, hop flowers, honey, magnolia, baking chocolate in aroma and cup. Gently brisk acidity; plush, creamy mouthfeel. Pomegranate and hop flowers lead in the crisp, long finish.","A lovely Thailand Robusta, processed experimentally with the addition of wine yeasts in the fermentation, to tart-fruity effect.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from ThailandVisit Paradise Roasters ",Light,64/88
"Chelchele, Gedeb District, Gedeo Zone, Ethiopia","Sweetly citrusy, cocoa-toned. Lime zest, cocoa nib, lemon verbena, freesia, cedar in aroma and cup. Bright, juicy acidity; crisp, satiny mouthfeel. Citrus-driven finish with undertones of cocoa nib.","A balanced, nuanced washed Ethiopia cup with pretty citrus and sweet herb notes throughout, supported by cocoa tones.",Light,65/81
"Kebele, Buku Sayisa, Guji Zone, Oromia Region, southern Ethiopia","Berry-toned, chocolaty. Berry melange, baking chocolate, caramel, gardenia, oak in aroma and cup. Brisk acidity; very full, viscous mouthfeel. Baking chocolate and gardenia lead in the crisp finish.","A berry-driven natural-processed Ethiopia — think blueberry, boysenberry, blackberry, raspberry all in one — supported by crisp chocolate and spicy florals.",Light,64/78
"Nyeri growing region, south-central Kenya","Brightly sweet, spice-toned. Red currant, nutmeg, brown sugar, orange zest, oak in aroma and cup. Juicy acidity; crisp, satiny mouthfeel. Brown sugar and orange zest lead in the quiet finish.","The bottom line: A balanced, juicy, spice-toned Kenya with classic lead notes of currant and bittersweet citrus undertones.",Medium-Light,60/77
Ethiopia,"Richly fruit-toned, wood-framed. Mulberry, cedar, Meyer lemon zest, cane sugar, lily in aroma and cup. Pert acidity; crisp, satiny mouthfeel. Finish consolidates to cedar and lily.",Pleasing aromatic cedar notes frame this fruit-driven blend of coffees from Ethiopia: berry-forward and gently spice-toned.,Medium-Light,57/74
"Llano Bonita de Naranjo, Costa Rica","Sweetly fruity, cocoa-toned. Dried nectarine, cocoa powder, fresh-cut maple wood, orange zest, thyme in aroma and cup. Brisk acidity; syrupy-smooth mouthfeel. Sweetly savory finish centered around notes of cocoa powder and thyme.",A gently fruit-forward natural-processed Costa Rica with undertones of savory herbs and bittersweet citrus notes.,Light,60/82
"Volcan Baru, Boquete growing region, Panama","Intensely fruity and floral-toned, powerfully sweet. Pineapple, passionfruit, star jasmine, chocolate fudge, tangerine zest in aroma and cup. Sweetly tart structure with winy acidity; plush, syrupy mouthfeel. Incredibly long, harmonious, integrated finish.","A decadently juicy, lyrically sweet Panama Geisha processed by the anaerobic natural method — tropical, richly floral, intensely aromatic.Explore Similar CoffeesClick here for more reviews from Mostra CoffeeClick here for more information about coffees from PanamaVisit Mostra Coffee ",Light,65/90
"Sidamo growing region, southern Ethiopia","Apricot, cocoa nib, lilac, bergamot, marjoram in aroma and cup. Juicy-bright acidity; plush, syrupy mouthfeel. Long, lingering, satisfying finish.","A lyrically complex, delightful natural-processed, single-variety Ethiopia that exudes the care and attention it was farmed and processed with. Classically high-toned, deeply sweet-tart, with cocoa nib as a grounding throughline. Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from EthiopiaVisit Kakalove Cafe ",Light,62/80
Colombia; Ethiopia,"Sweetly citrusy, crisply chocolaty. Baking chocolate, finger lime, magnolia, persimmon, oak in aroma and cup. Bright, balanced acidity; chocolaty finish with undercurrents of lime.","This Colombia/Ethiopia blend is centered around crisp chocolate and lime-like citrus notes, complicated by sweet florals.Explore Similar CoffeesClick here for more reviews from PT's Coffee Roasting Co.Visit PT's Coffee Roasting Co. ",Medium-Light,60/76
Ethiopia; Guatemala,"Evaluated as espresso. Intricately floral-toned, fruity. Cherry blossom, dried mango, Meyer lemon zest, hazelnut, oregano oil in aroma and small cup. Bright structure with juicy, velvety mouthfeel; sweetly nutty, resonant finish. In cappuccino-scaled milk, there’s a layered, harmonious complexity with leading notes of cherry blossom and dried mango.","An excitingly original espresso blend that foregrounds sweet florals and tropical fruit in equal measure, held together by sweet nut and citrus tones — equally compelling in the straight shot and in cappuccino format.Explore Similar CoffeesClick here for more reviews from Kakalove CafeVisit Kakalove Cafe ",Medium-Light,56/72
"Huila Department, Colombia","Fruit-driven, subtly lactic. Grape jelly, pineapple kefir, dark chocolate, amber, salted caramel in aroma and cup. Tangy acidity; creamy-smooth mouthfeel. The lactic-leaning finish gets ballast from dark chocolate notes.",A uniquely composed anaerobic natural cup with rich chocolate and salted caramel notes juxtaposed with a sweet-tart lactic tang that is remarkably integrated.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from ColombiaVisit Kakalove Cafe ,Light,64/80
"Acatenango, Chimaltenango, Guatemala","Sweet-toned, subtly nuanced. Almond butter, caramel apple, freesia, graham cracker, oak in aroma and cup. Brisk acidity; full, very satiny mouthfeel. Nutty finish supported by caramel notes. ","A solid Guatemala cup processed by the honey method: gently bright, balanced, delicately sweet, richly nut-toned.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from GuatemalaVisit Kakalove Cafe ",Medium-Light,58/74
"Huila Department, Colombia","Balanced, brightly sweet. Tangerine, bay leaf, cocoa nib, narcissus, fresh-cut oak in aroma and cup. High-toned acidity; crisp, syrupy mouthfeel. Long, lingering resonant finish. ","A compelling rendition of Pink Bourbon with distinct citrus, cocoa nib, and spicy floral tones — especially lively, juicy acidity.Explore Similar CoffeesClick here for more reviews from Bird Rock Coffee RoastersClick here for more information about coffees from ColombiaVisit Bird Rock Coffee Roasters ",Medium-Light,63/77
"La Libertad, Huehuetenango Department, Guatemala","Richly sweet-tart. Pomegranate, lychee, cocoa nib, lemongrass, lilac in aroma and cup. Bright, juicy acidity; lush, silky mouthfeel. Cocoa-toned finish supported by lemongrass and lilac.","An Ethiopian landrace coffee variety grown in Guatemala and natural processed to emphasize fruit notes — sweetly tart, juicy-bright, deep-toned.Explore Similar CoffeesClick here for more reviews from Equator CoffeesClick here for more information about coffees from GuatemalaVisit Equator Coffees ",Medium-Light,57/74
"Doi Chang, Chiang Rai Province, Thailand","Sweetly tart, fruit-toned. Tamarind, blueberry, baking chocolate, agave syrup, cedar in aroma and cup. Brisk acidity; full, satiny mouthfeel. Gently drying, wood-framed finish with undertones of blueberry. ","An anaerobic honey-processed coffee grown in Thailand driven by berry and chocolate notes, crisply sweet and engaging.Explore Similar CoffeesClick here for more reviews from Bluekoff CompanyClick here for more information about coffees from ThailandVisit Bluekoff Company ",Medium-Light,58/76
